Species,Length,Width
Parkki,16.5,2.3265
Parkki,17.4,2.3142
,19.8,
Parkki,21.3,2.9181
Parkki,22.4,3.2928
,23.2,3.2944
Parkki,23.2,3.4104
Parkki,24.1,3.1571
,25.8,3.6636
Parkki,28,4.144
Parkki,29,4.234
Perch,8.8,1.408
,14.7,1.9992
Perch,16,2.432
Perch,17.2,2.6316
Perch,18.5,2.9415
Perch,19.2,3.3216
,19.4,
Perch,20.2,3.0502
Perch,20.8,3.0368
Perch,21,2.772
Perch,22.5,3.555
Perch,22.5,3.3075
,22.5,
Perch,22.8,3.534
,23.5,
Perch,23.5,3.525
Perch,23.5,3.525
Perch,23.5,3.525
Perch,23.5,3.995
,24,
Perch,24,3.624
Perch,24.2,3.63
Perch,24.5,3.626
Perch,25,3.725
,25.5,3.723
Perch,25.5,3.825
Perch,26.2,4.1658
Perch,26.5,3.6835
,27,4.239
Perch,28,4.144
Perch,28.7,5.1373
,28.9,4.335
,28.9,
,28.9,4.5662
Perch,29.4,4.2042
Perch,30.1,4.6354
Perch,31.6,4.7716
Perch,34,6.018
,36.5,6.3875
,37.3,7.7957
,39,
,38.3,
Perch,39.4,6.2646
Perch,39.3,6.3666
Perch,41.4,7.4934
Perch,41.4,6.003
Perch,41.3,7.3514
,42.3,
Perch,42.5,7.225
Perch,42.4,7.4624
Perch,42.5,6.63
Perch,44.6,6.8684
Perch,45.2,7.2772
Perch,45.5,7.4165
Perch,46,8.142
Perch,46.6,7.5958
