_Imputation_,Dependent,Parameter,Estimate,StdErr,tValue,Probt
1,READ,Intercept,10.541018,3.38826339,3.11,0.0021
1,READ,WRITE,0.359744,0.07902526,4.55,<.0001
1,READ,femalecat,-2.464947,1.10573453,-2.23,0.0269
1,READ,MATH,0.408445,0.07654096,5.34,<.0001
1,READ,progcat1,1.979482,1.54500446,1.28,0.2016
1,READ,progcat2,3.814287,1.41539200,2.69,0.0077
2,READ,Intercept,10.902781,3.37147431,3.23,0.0014
2,READ,WRITE,0.344346,0.07398544,4.65,<.0001
2,READ,femalecat,-2.150069,1.10767679,-1.94,0.0537
2,READ,MATH,0.436545,0.07674112,5.69,<.0001
2,READ,progcat1,0.698299,1.52909755,0.46,0.6484
2,READ,progcat2,2.064061,1.37889496,1.50,0.1360
3,READ,Intercept,9.449499,3.39503845,2.78,0.0059
3,READ,WRITE,0.339820,0.07923938,4.29,<.0001
3,READ,femalecat,-1.925514,1.12403971,-1.71,0.0883
3,READ,MATH,0.460689,0.07670367,6.01,<.0001
3,READ,progcat1,0.747631,1.54369915,0.48,0.6287
3,READ,progcat2,2.706308,1.39526099,1.94,0.0539
4,READ,Intercept,9.573168,3.45773869,2.77,0.0062
4,READ,WRITE,0.373337,0.07645438,4.88,<.0001
4,READ,femalecat,-2.346994,1.13805724,-2.06,0.0405
4,READ,MATH,0.422785,0.07727538,5.47,<.0001
4,READ,progcat1,1.035868,1.50335177,0.69,0.4916
4,READ,progcat2,3.000010,1.41097181,2.13,0.0348
5,READ,Intercept,10.229144,3.48350244,2.94,0.0037
5,READ,WRITE,0.382437,0.08009626,4.77,<.0001
5,READ,femalecat,-2.759882,1.14629793,-2.41,0.0170
5,READ,MATH,0.410115,0.07954720,5.16,<.0001
5,READ,progcat1,0.631836,1.53660718,0.41,0.6814
5,READ,progcat2,2.907971,1.43115447,2.03,0.0435
6,READ,Intercept,8.519947,3.51775599,2.42,0.0164
6,READ,WRITE,0.399258,0.07650640,5.22,<.0001
6,READ,femalecat,-1.833805,1.11286948,-1.65,0.1010
6,READ,MATH,0.424353,0.07553316,5.62,<.0001
6,READ,progcat1,-0.214391,1.56261886,-0.14,0.8910
6,READ,progcat2,2.558385,1.45189741,1.76,0.0796
7,READ,Intercept,9.193480,3.34370531,2.75,0.0065
7,READ,WRITE,0.365016,0.07589422,4.81,<.0001
7,READ,femalecat,-2.035759,1.07515644,-1.89,0.0598
7,READ,MATH,0.437004,0.07470976,5.85,<.0001
7,READ,progcat1,0.888622,1.48351750,0.60,0.5499
7,READ,progcat2,3.205025,1.39005362,2.31,0.0222
8,READ,Intercept,11.454076,3.43649199,3.33,0.0010
8,READ,WRITE,0.348312,0.08054414,4.32,<.0001
8,READ,femalecat,-1.495572,1.12371363,-1.33,0.1848
8,READ,MATH,0.408284,0.07740775,5.27,<.0001
8,READ,progcat1,1.086299,1.54882045,0.70,0.4839
8,READ,progcat2,2.715538,1.45872050,1.86,0.0642
9,READ,Intercept,8.387803,3.37228175,2.49,0.0137
9,READ,WRITE,0.362042,0.07333387,4.94,<.0001
9,READ,femalecat,-2.056483,1.01473278,-2.03,0.0441
9,READ,MATH,0.463329,0.07393180,6.27,<.0001
9,READ,progcat1,0.210007,1.48056668,0.14,0.8874
9,READ,progcat2,2.691699,1.32677826,2.03,0.0439
10,READ,Intercept,10.414161,3.30565412,3.15,0.0019
10,READ,WRITE,0.378441,0.07741647,4.89,<.0001
10,READ,femalecat,-2.522463,1.13426208,-2.22,0.0273
10,READ,MATH,0.411192,0.07495415,5.49,<.0001
10,READ,progcat1,0.464104,1.49736371,0.31,0.7569
10,READ,progcat2,2.699089,1.36467594,1.98,0.0494
